,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
10,11,Anthony Davis,LAL,12,12,34.5,9.7,17.8,.542,0.3,1.3,.250,4.6,5.8,.786,3.6,7.6,11.2,2.5,1.3,1.8,1.6,3.1,24.3,21.5
11,12,Damian Lillard,POR,8,8,35.4,8.3,17.6,.468,3.9,9.8,.397,8.3,9.5,.868,1.1,3.9,5.0,6.0,0.6,0.3,4.3,1.5,28.6,21.2
12,13,Ja Morant,MEM,12,12,32.9,10.1,21.0,.480,2.1,5.1,.410,6.5,8.3,.788,1.1,4.9,6.0,7.0,1.0,0.3,4.0,1.9,28.8,21.0
13,14,James Harden,PHI,9,9,36.7,7.0,15.9,.441,2.2,6.7,.333,5.8,6.2,.929,0.6,6.4,7.0,10.0,1.1,0.7,2.9,2.0,22.0,20.7
14,15,Pascal Siakam,TOR,9,9,35.6,8.9,18.6,.479,1.4,4.2,.342,5.6,7.7,.725,1.8,7.6,9.3,7.7,0.9,0.6,2.7,3.1,24.8,20.7
15,16,Tyrese Haliburton,IND,12,12,34.1,7.3,15.0,.483,3.0,7.0,.429,3.0,3.5,.857,1.1,3.7,4.8,10.3,1.8,0.2,3.0,1.3,20.5,20.2
16,17,De'Aaron Fox,SAC,11,11,32.7,9.8,17.9,.548,1.9,5.1,.375,4.0,4.8,.830,0.6,4.5,5.1,6.0,1.3,0.5,3.2,2.9,25.5,19.8
17,18,Kyrie Irving,BRK,8,8,38.7,9.8,21.5,.453,2.6,9.4,.280,4.8,5.1,.927,0.8,4.4,5.1,5.1,1.4,1.1,2.4,3.0,26.9,19.6
18,19,Devin Booker,PHO,12,12,36.4,9.4,19.8,.475,2.3,6.1,.384,5.5,6.3,.868,0.9,3.6,4.5,5.6,1.0,0.4,2.8,2.3,26.7,19.5
19,20,Trae Young,ATL,12,12,35.2,8.6,22.7,.379,2.3,7.7,.304,7.9,8.8,.905,0.9,2.3,3.2,9.3,0.8,0.2,3.8,1.4,27.4,19.1
21,21,Dejounte Murray,ATL,13,13,36.6,8.8,19.5,.455,1.9,5.9,.325,2.1,2.4,.871,0.9,5.4,6.3,8.0,2.2,0.5,2.4,1.8,21.7,18.8
22,22,LeBron James,LAL,10,10,35.7,10.0,21.9,.457,1.7,7.1,.239,3.2,4.8,.667,1.8,7.0,8.8,6.9,1.1,0.7,3.4,2.0,24.9,18.5
23,23,Zion Williamson,NOP,11,11,32.2,9.0,15.9,.566,0.3,0.5,.500,5.3,7.4,.716,2.1,4.3,6.4,3.9,1.1,0.3,2.7,2.7,23.5,18.1
24,24,Desmond Bane,MEM,12,12,33.5,8.3,17.8,.465,3.8,8.5,.451,4.3,4.8,.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7,17.9
25,25,DeMar DeRozan,CHI,14,14,33.8,8.1,16.0,.509,0.3,1.4,.200,7.3,8.2,.887,0.4,3.6,3.9,4.2,1.1,0.4,2.3,2.6,23.9,17.9
26,26,Domantas Sabonis,SAC,12,12,32.0,6.5,11.7,.557,0.3,1.2,.214,4.7,6.6,.709,2.6,8.8,11.3,6.3,0.9,0.5,2.3,3.9,17.9,17.8
27,27,Karl-Anthony Towns,MIN,14,14,34.3,7.6,14.7,.515,2.1,5.6,.367,4.1,4.6,.891,1.9,7.4,9.3,5.2,0.6,0.6,2.9,3.9,21.3,17.6
28,28,Lauri Markkanen,UTA,15,15,33.1,8.1,15.5,.526,2.1,6.0,.344,3.5,4.1,.839,2.1,6.5,8.6,2.2,0.5,0.9,2.0,1.7,21.8,17.4
29,29,Jaylen Brown,BOS,12,12,36.4,9.3,19.5,.479,2.5,7.0,.357,4.2,4.9,.847,1.0,5.8,6.8,3.3,0.8,0.5,2.9,2.8,25.3,17.0
30,30,Bradley Beal,WAS,9,9,35.1,8.2,15.9,.517,1.4,4.4,.325,3.7,4.0,.917,0.7,2.9,3.6,5.7,0.9,0.8,2.7,2.0,21.6,16.9
31,31,Paul George,LAC,12,12,35.6,8.8,18.9,.463,2.8,8.1,.351,4.3,5.2,.839,0.4,5.5,5.9,4.5,1.5,0.6,3.6,2.7,24.7,16.9
32,32,Jrue Holiday,MIL,10,10,33.1,7.4,16.8,.440,2.4,6.7,.358,2.4,2.8,.857,1.3,4.4,5.7,7.9,1.5,0.7,2.9,1.7,19.6,16.8
33,33,Fred VanVleet,TOR,10,10,36.5,6.0,14.7,.408,3.5,8.3,.422,2.9,3.5,.829,0.6,3.1,3.7,6.8,2.3,0.7,1.4,2.4,18.4,16.8
34,34,Jalen Brunson,NYK,13,13,32.7,7.2,14.5,.492,1.2,3.9,.294,4.1,4.7,.869,0.4,3.2,3.5,6.8,1.2,0.2,1.6,2.4,19.5,16.7
35,35,Paolo Banchero,ORL,11,11,34.7,8.1,17.5,.461,1.0,3.9,.256,6.4,8.3,.769,0.8,7.5,8.3,3.6,0.7,0.9,3.0,2.4,23.5,16.5
36,36,Kristaps Porzi??is,WAS,13,13,31.0,7.1,14.5,.489,2.2,5.8,.387,4.2,5.2,.806,2.2,5.9,8.2,2.4,0.8,1.4,1.8,3.3,20.5,16.5
37,37,Keldon Johnson,SAS,12,12,34.0,8.0,17.3,.462,3.8,8.8,.429,3.8,5.0,.767,0.7,4.6,5.3,3.7,1.0,0.1,3.0,1.7,23.6,16.0
38,38,Myles Turner,IND,7,7,28.2,5.4,10.7,.507,1.4,3.9,.370,5.6,6.6,.848,1.6,7.1,8.7,1.4,0.3,3.1,1.9,3.7,17.9,15.5
39,39,Devin Vassell,SAS,9,7,31.6,7.8,16.6,.470,3.3,7.7,.435,2.1,2.8,.760,0.1,4.0,4.1,3.8,0.9,0.3,1.3,1.1,21.0,15.5
40,40,Andrew Wiggins,GSW,12,12,34.3,7.3,14.8,.497,2.4,6.3,.387,1.9,2.6,.742,1.7,4.3,5.9,2.5,1.4,1.1,1.3,3.0,19.0,15.3
42,41,Darius Garland,CLE,7,7,34.6,6.9,17.4,.393,3.1,7.7,.407,4.3,5.4,.789,0.6,1.7,2.3,8.0,1.4,0.1,3.1,2.6,21.1,15.1
43,42,Jerami Grant,POR,12,12,35.6,6.8,13.8,.497,2.4,5.3,.460,4.6,6.0,.764,0.9,3.8,4.7,2.7,0.7,0.9,2.3,2.0,20.7,15.1
44,43,Zach LaVine,CHI,10,10,33.8,7.6,17.1,.444,3.0,7.8,.385,3.7,4.4,.841,0.5,3.4,3.9,4.1,1.3,0.1,2.2,2.5,21.9,15.1
45,44,Tyrese Maxey,PHI,14,14,37.5,8.4,18.6,.448,2.9,7.0,.408,3.2,4.3,.750,0.4,3.0,3.4,4.4,1.1,0.2,2.1,2.5,22.8,15.1
46,45,Brandon Ingram,NOP,9,9,32.5,7.9,16.3,.483,1.7,3.6,.469,4.0,4.9,.818,0.6,5.2,5.8,4.0,0.9,0.9,3.1,2.8,21.4,14.9
47,46,Julius Randle,NYK,13,13,33.4,6.9,15.1,.459,1.9,5.8,.333,5.1,6.7,.759,2.5,6.5,9.1,3.4,0.6,0.2,3.0,3.6,20.8,14.9
48,47,Rudy Gobert,MIN,12,12,32.4,5.1,8.3,.616,0.0,0.2,.000,3.8,5.6,.687,4.2,8.8,12.9,1.0,0.6,1.6,1.7,2.8,14.0,14.7
49,48,Alperen ?eng?n,HOU,11,8,26.2,5.8,10.1,.577,0.3,1.2,.231,4.2,5.3,.793,3.7,5.4,9.1,2.0,0.7,1.0,1.9,3.4,16.1,14.7
50,49,Mikal Bridges,PHO,12,12,36.5,5.9,10.7,.555,1.3,2.8,.441,2.6,2.9,.886,1.3,3.9,5.2,3.2,1.0,1.0,1.2,2.1,15.7,14.4
51,50,Spencer Dinwiddie,DAL,12,12,33.1,6.8,13.8,.491,3.3,7.1,.459,1.8,2.2,.808,0.3,3.3,3.5,4.7,1.2,0.2,1.8,2.5,18.5,14.4
52,51,Bam Adebayo,MIA,13,13,34.9,7.3,13.7,.534,0.0,0.3,.000,3.6,4.2,.855,2.2,6.9,9.1,3.5,1.2,0.8,3.6,3.5,18.2,14.2
53,52,Jakob Poeltl,SAS,13,13,29.2,5.5,8.6,.643,0.0,0.0,,1.5,3.3,.465,3.8,6.0,9.8,3.8,1.0,1.2,2.2,2.1,12.6,14.0
54,53,Bojan Bogdanovi?,DET,14,14,31.0,6.6,13.1,.505,2.9,6.6,.430,4.1,4.5,.921,0.4,3.0,3.4,1.9,0.4,0.0,1.9,2.0,20.3,13.9
55,54,Tyler Herro,MIA,10,10,31.4,7.2,15.4,.468,2.4,6.4,.375,2.8,3.1,.903,0.6,5.8,6.4,2.6,0.7,0.6,2.1,1.6,19.6,13.9
56,55,Buddy Hield,IND,12,12,31.5,6.8,14.6,.469,4.1,10.0,.408,1.1,1.3,.867,1.3,4.3,5.5,3.2,0.8,0.4,1.9,2.2,18.8,13.9
57,56,Anfernee Simons,POR,11,11,36.1,7.7,18.4,.421,3.8,10.5,.365,3.0,3.5,.846,0.4,2.6,3.0,4.1,0.8,0.2,2.4,2.2,22.3,13.9
58,57,Terry Rozier,CHO,7,7,36.0,8.1,21.7,.375,3.6,10.0,.357,2.0,2.4,.824,1.6,3.9,5.4,5.6,0.4,0.4,2.4,1.3,21.9,13.7
59,58,OG Anunoby,TOR,14,14,35.3,6.4,13.6,.474,1.9,4.9,.377,2.5,3.1,.814,1.4,4.7,6.1,1.8,2.9,0.9,2.3,3.4,17.2,13.5
60,59,Jarrett Allen,CLE,12,12,32.5,5.8,10.3,.556,0.0,0.2,.000,2.5,3.3,.769,3.5,8.0,11.5,1.2,0.4,1.3,1.4,2.3,14.0,13.4
61,60,Aaron Gordon,DEN,13,13,29.0,5.5,9.6,.576,0.8,2.7,.314,2.5,4.1,.623,2.2,4.6,6.8,2.5,0.5,0.8,1.2,1.5,14.5,13.4
63,61,Michael Porter Jr.,DEN,12,12,29.1,6.5,13.1,.497,3.6,7.4,.483,1.4,1.7,.850,1.3,5.1,6.4,1.3,0.7,0.3,1.0,2.9,18.0,13.4
64,62,Nikola Vu?evi?,CHI,14,14,31.1,6.0,12.8,.469,1.7,4.4,.393,2.3,2.5,.914,2.6,8.9,11.5,2.9,0.2,0.8,2.4,2.4,16.0,13.2
65,63,Wendell Carter Jr.,ORL,13,13,32.8,5.6,11.2,.503,1.1,3.2,.333,3.7,4.4,.842,2.2,7.2,9.5,3.1,0.6,0.5,2.5,3.3,16.0,13.1
66,64,CJ McCollum,NOP,13,13,35.9,7.2,18.3,.391,1.8,6.6,.279,1.7,2.2,.786,1.0,4.5,5.5,6.3,1.4,0.6,2.2,1.9,17.8,13.1
67,65,Cade Cunningham,DET,12,12,33.3,7.8,18.7,.415,1.4,5.1,.279,3.0,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,13.0
68,66,Bennedict Mathurin,IND,12,0,28.1,6.1,13.3,.456,2.8,6.3,.453,4.9,5.9,.831,1.3,2.7,3.9,2.3,0.4,0.1,2.4,2.3,19.9,13.0
69,67,Jonas Valan?i?nas,NOP,13,13,24.3,5.0,9.9,.504,0.5,1.2,.375,3.4,4.0,.846,3.3,6.8,10.1,2.1,0.5,0.3,1.3,2.2,13.8,13.0
70,68,Jalen Green,HOU,13,13,34.3,7.7,18.1,.426,3.0,8.0,.375,3.4,4.3,.786,0.6,3.4,4.0,2.8,0.8,0.3,2.7,1.6,21.8,12.9
71,69,Kevin Huerter,SAC,12,12,31.8,5.5,11.0,.500,3.8,7.3,.511,1.8,2.8,.667,0.1,2.8,2.9,3.2,0.9,0.4,1.3,2.1,16.6,12.9
72,70,Anthony Edwards,MIN,14,14,36.1,7.9,17.4,.457,2.4,6.9,.340,2.7,4.1,.667,0.5,5.1,5.6,3.7,1.1,0.3,3.1,3.1,20.9,12.8
73,71,Kevin Porter Jr.,HOU,13,13,35.0,6.6,15.9,.415,1.9,5.6,.342,4.0,5.2,.776,1.5,4.2,5.7,5.8,1.2,0.3,4.1,2.9,19.2,12.8
74,72,Tobias Harris,PHI,14,14,33.7,5.6,12.1,.462,2.1,5.2,.397,1.5,1.9,.778,1.1,5.1,6.2,2.9,1.6,0.6,1.1,2.1,14.7,12.7
75,73,Chris Paul,PHO,10,10,30.2,2.8,7.6,.368,0.9,3.3,.273,3.0,3.4,.882,0.5,4.0,4.5,9.4,1.7,0.2,1.5,2.3,9.5,12.7
76,74,Franz Wagner,ORL,13,13,34.1,7.4,15.1,.490,0.9,4.0,.231,2.6,3.1,.850,1.1,2.9,4.0,4.5,0.8,0.3,2.8,2.2,18.3,12.7
77,75,Jordan Clarkson,UTA,15,15,30.3,6.6,15.4,.429,3.1,7.8,.393,1.9,2.3,.800,1.5,2.7,4.3,4.7,0.3,0.5,2.3,1.9,18.1,12.6
78,76,Brook Lopez,MIL,12,12,31.3,6.1,12.5,.487,2.3,6.4,.364,1.3,1.6,.789,2.2,4.3,6.4,1.0,0.7,2.7,1.7,2.6,15.8,12.6
79,77,Nic Claxton,BRK,14,14,27.4,5.4,7.5,.724,0.0,0.1,.000,1.1,2.9,.375,2.9,6.1,9.1,1.2,0.8,2.1,1.5,2.7,11.9,12.5
80,78,Gordon Hayward,CHO,8,8,31.0,6.3,13.3,.472,1.3,3.5,.357,3.6,4.6,.784,0.5,3.8,4.3,4.1,0.8,0.3,2.8,0.8,17.4,12.4
81,79,Russell Westbrook,LAL,12,3,29.3,5.7,13.8,.412,1.5,4.4,.340,3.5,4.3,.808,1.2,4.3,5.5,7.2,1.2,0.4,3.8,2.7,16.3,12.4
82,80,Clint Capela,ATL,13,13,27.1,4.8,8.3,.583,0.0,0.0,,1.1,1.8,.583,4.2,7.8,12.0,0.6,0.7,1.5,1.2,1.9,10.8,12.1
84,81,Kyle Kuzma,WAS,14,14,32.9,6.8,14.9,.455,2.0,6.3,.318,2.8,3.8,.736,0.9,7.1,7.9,2.7,0.2,0.6,2.3,2.6,18.4,12.1
85,82,Evan Mobley,CLE,13,13,33.9,6.0,10.8,.553,0.2,0.8,.182,2.6,3.7,.708,2.4,5.2,7.5,2.2,0.9,1.4,2.4,3.1,14.8,12.1
86,83,Jusuf Nurki?,POR,10,10,29.5,4.8,9.7,.495,0.6,1.1,.545,2.8,3.2,.875,3.1,8.1,11.2,2.5,0.9,0.8,2.5,3.1,13.0,12.0
87,84,Scottie Barnes,TOR,13,13,31.9,5.5,12.8,.431,1.3,3.9,.333,1.4,1.9,.720,1.9,4.7,6.6,4.9,0.9,0.7,2.0,1.5,13.8,11.8
88,85,Kyle Lowry,MIA,13,13,35.0,3.8,9.5,.403,2.2,6.3,.341,3.2,3.5,.911,0.6,4.2,4.8,5.8,1.2,0.5,2.0,2.8,13.0,11.8
89,86,Bobby Portis,MIL,12,3,26.7,5.3,11.9,.448,1.3,3.8,.348,1.3,1.7,.800,2.8,8.3,11.0,2.0,0.4,0.3,1.1,1.2,13.3,11.8
90,87,RJ Barrett,NYK,13,13,33.9,6.8,16.0,.428,1.7,5.5,.306,3.5,4.5,.780,1.0,4.4,5.4,2.8,0.5,0.2,2.2,2.2,18.9,11.6
91,88,Saddiq Bey,DET,14,14,31.7,4.9,11.6,.423,1.7,5.6,.308,4.6,5.0,.914,1.1,3.5,4.6,1.4,0.9,0.2,1.4,1.8,16.1,11.5
92,89,Jaden Ivey,DET,13,13,31.4,5.7,12.8,.446,1.5,4.4,.351,2.8,3.9,.725,1.4,3.7,5.1,3.8,1.4,0.4,2.5,2.7,15.8,11.5
93,90,Isaiah Stewart,DET,14,14,28.1,3.9,8.1,.474,1.1,3.7,.308,3.4,4.6,.734,3.0,6.7,9.7,1.4,0.6,0.7,1.0,3.1,12.2,11.5
94,91,Lonnie Walker IV,LAL,11,11,31.0,6.2,13.1,.472,1.8,5.1,.357,2.4,2.9,.813,0.5,2.0,2.5,1.7,1.1,0.6,1.1,2.1,16.5,11.4
95,92,Tre Jones,SAS,13,13,30.4,4.4,10.6,.413,1.0,2.4,.419,2.5,2.8,.917,0.7,3.2,3.8,6.6,1.4,0.2,2.0,2.2,12.3,11.3
96,93,Marcus Morris,LAC,11,11,31.4,5.9,12.0,.492,2.3,5.7,.397,0.6,0.6,1.000,0.5,5.5,6.0,2.2,0.9,0.4,1.1,2.5,14.7,11.3
97,94,Christian Wood,DAL,10,0,24.7,5.8,10.1,.574,1.3,3.1,.419,3.0,4.4,.682,1.3,6.2,7.5,0.8,0.5,0.5,2.4,2.8,15.9,11.3
98,95,Kelly Oubre Jr.,CHO,14,14,30.6,6.8,16.1,.420,2.7,7.8,.349,2.2,3.2,.689,0.9,3.9,4.8,1.3,1.2,0.4,1.2,3.1,18.5,11.2
99,96,Mike Conley,UTA,14,14,30.3,3.6,9.1,.398,1.9,5.1,.375,1.6,2.1,.759,0.4,1.9,2.3,8.1,1.0,0.3,1.6,1.6,10.8,11.1
100,97,Josh Giddey,OKC,10,10,30.0,6.4,13.6,.471,1.1,3.2,.344,0.8,1.2,.667,1.6,5.7,7.3,5.7,0.5,0.5,3.3,2.1,14.7,11.1
101,98,Jamal Murray,DEN,12,12,28.7,6.5,14.8,.438,1.6,4.6,.345,1.6,2.2,.731,0.7,2.8,3.5,4.3,1.0,0.0,2.1,0.8,16.2,11.1
102,99,D'Angelo Russell,MIN,14,14,30.1,5.1,12.5,.411,1.9,5.9,.329,2.2,3.0,.738,0.8,2.6,3.4,6.3,1.3,0.6,3.0,2.0,14.4,11.1
103,100,Ivica Zubac,LAC,13,13,30.6,4.3,7.1,.609,0.0,0.1,.000,2.0,3.3,.605,2.8,8.4,11.2,1.3,0.6,2.2,2.2,2.8,10.6,11.1
105,101,Max Strus,MIA,13,6,32.6,5.6,12.1,.465,3.2,8.2,.387,1.1,1.3,.824,0.7,3.2,3.9,1.9,0.8,0.4,0.9,2.6,15.5,11.0
106,102,Gary Trent Jr.,TOR,14,14,32.0,5.8,13.9,.415,2.2,6.8,.326,2.8,3.6,.780,0.7,1.2,1.9,1.4,1.4,0.2,1.0,1.3,16.6,10.7
107,103,Cole Anthony,ORL,4,3,30.4,5.5,13.3,.415,1.8,5.0,.350,2.8,3.8,.733,0.8,4.0,4.8,4.3,0.8,0.8,2.0,3.5,15.5,10.6
108,104,Deandre Ayton,PHO,10,10,26.6,6.4,11.5,.557,0.3,0.7,.429,1.4,1.9,.737,2.2,5.1,7.3,1.5,0.6,0.6,2.1,3.2,14.5,10.6
109,105,Bol Bol,ORL,13,8,23.5,4.5,6.8,.670,0.8,1.5,.526,1.6,1.9,.840,1.3,6.2,7.5,0.5,0.2,1.9,1.8,1.6,11.5,10.6
110,106,Malcolm Brogdon,BOS,11,0,23.0,4.8,10.1,.477,1.3,3.5,.368,2.8,3.3,.861,0.9,2.9,3.8,3.5,0.5,0.2,2.0,1.3,13.7,10.6
111,107,Kevin Love,CLE,13,1,21.2,3.7,8.7,.425,2.5,6.2,.407,2.2,2.6,.853,1.0,6.5,7.5,2.6,0.2,0.2,1.2,1.3,12.2,10.5
112,108,Dennis Smith Jr.,CHO,13,11,29.4,4.5,9.6,.464,0.8,2.2,.357,0.5,0.8,.545,0.7,2.9,3.6,6.2,1.9,0.6,1.6,2.5,10.2,10.5
113,109,Bruno Fernando,HOU,2,2,18.4,2.5,3.0,.833,0.0,0.0,,0.5,1.0,.500,2.5,4.0,6.5,4.5,0.5,1.0,0.5,1.5,5.5,10.4
114,110,Al Horford,BOS,10,10,31.4,4.3,7.7,.558,2.2,4.6,.478,0.4,0.7,.571,0.9,5.2,6.1,2.1,0.4,0.7,0.7,2.1,11.2,10.4
115,111,Cameron Johnson,PHO,8,8,25.3,4.6,10.4,.446,2.8,6.4,.431,1.0,1.4,.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0,10.4
116,112,Caris LeVert,CLE,13,13,34.7,4.7,12.0,.391,1.9,4.5,.424,2.5,3.2,.780,1.2,3.5,4.8,5.3,0.8,0.2,2.1,2.6,13.8,10.4
117,113,Kentavious Caldwell-Pope,DEN,12,12,31.0,4.2,8.3,.500,2.5,4.6,.545,1.0,1.3,.750,0.3,3.3,3.6,2.7,1.5,0.3,1.3,2.0,11.8,10.3
118,114,John Collins,ATL,13,13,31.4,4.8,9.5,.504,0.7,2.8,.250,2.2,2.3,.933,1.5,6.5,7.9,1.1,0.7,1.3,1.4,3.2,12.4,10.3
119,115,Kawhi Leonard,LAC,2,0,21.0,4.0,9.0,.444,0.5,3.0,.167,4.0,4.5,.889,2.0,4.5,6.5,2.0,1.5,0.0,2.0,2.5,12.5,10.3
120,116,Mason Plumlee,CHO,14,14,26.3,3.4,5.6,.608,0.0,0.0,,2.2,3.9,.574,2.9,5.9,8.8,4.2,0.4,0.5,1.9,3.3,9.1,10.2
121,117,Alec Burks,DET,1,0,25.3,5.0,12.0,.417,1.0,5.0,.200,6.0,8.0,.750,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,17.0,9.9
122,118,Marcus Smart,BOS,13,13,32.9,3.8,9.5,.395,1.5,5.4,.286,1.5,1.8,.826,0.2,2.8,3.1,7.0,1.2,0.2,1.5,3.0,10.5,9.8
123,119,Trey Murphy III,NOP,13,4,28.6,3.8,8.2,.467,2.2,5.5,.394,1.6,1.7,.955,1.3,3.2,4.5,1.4,0.9,0.4,0.8,1.8,11.5,9.7
124,120,Larry Nance Jr.,NOP,12,0,23.2,4.2,6.3,.667,0.3,0.7,.500,0.7,1.0,.667,1.8,3.9,5.7,2.3,0.8,0.5,1.2,2.3,9.3,9.6
126,121,John Wall,LAC,10,0,22.6,4.9,11.3,.434,0.9,3.7,.243,1.9,3.3,.576,0.4,1.9,2.3,5.1,1.1,0.3,1.5,1.7,12.6,9.6
127,122,Steven Adams,MEM,13,13,27.1,3.1,5.0,.615,0.0,0.0,,0.7,2.2,.310,5.2,6.2,11.4,2.7,0.8,1.2,2.3,2.8,6.8,9.5
128,123,Luguentz Dort,OKC,13,13,30.2,4.8,12.2,.392,1.4,5.5,.250,2.6,3.4,.773,1.4,2.9,4.3,2.4,1.5,0.3,0.9,3.5,13.5,9.5
129,124,Eric Gordon,HOU,11,11,30.6,4.5,9.8,.454,2.0,5.5,.367,2.0,2.5,.815,0.2,1.8,2.0,3.4,0.8,0.5,1.9,0.9,12.9,9.5
130,125,Kelly Olynyk,UTA,15,15,26.8,4.3,7.9,.546,1.5,3.1,.500,2.1,2.7,.775,1.2,3.1,4.3,3.1,1.3,0.5,2.5,4.3,12.3,9.5
131,126,Nick Richards,CHO,14,0,19.4,3.8,5.9,.639,0.0,0.0,,2.5,3.4,.729,2.9,3.3,6.1,0.8,0.1,0.7,0.8,2.1,10.1,9.5
132,127,Chris Boucher,TOR,11,0,21.5,4.1,8.2,.500,1.2,3.4,.351,2.0,2.9,.688,2.3,3.3,5.5,0.6,0.9,1.1,1.1,2.9,11.4,9.3
133,128,Draymond Green,GSW,12,12,30.4,3.6,6.3,.566,0.3,1.0,.250,0.8,1.4,.588,0.7,5.8,6.4,6.7,0.9,0.6,2.5,3.6,8.3,9.3
134,129,Josh Hart,POR,13,13,36.3,3.1,7.5,.412,0.5,1.8,.304,2.2,3.2,.683,1.7,7.0,8.7,4.4,1.2,0.2,1.8,2.5,8.8,9.3
135,130,Collin Sexton,UTA,15,1,22.1,4.7,10.0,.473,1.1,3.0,.378,3.4,4.3,.797,0.9,1.9,2.9,1.8,0.7,0.1,1.7,2.2,14.0,9.3
136,131,Charles Bassey,SAS,4,0,15.5,2.5,4.0,.625,0.5,1.3,.400,1.3,1.5,.833,2.0,6.0,8.0,1.8,0.8,2.0,1.0,3.0,6.8,9.2
137,132,Jordan Poole,GSW,13,2,28.5,5.2,12.7,.412,2.2,6.8,.330,2.9,3.5,.826,0.2,1.5,1.8,4.5,1.1,0.1,3.2,2.5,15.6,9.2
138,133,Grant Williams,BOS,12,4,28.2,3.3,5.3,.609,1.7,3.3,.500,1.3,1.7,.800,0.8,4.1,4.8,1.9,0.6,0.7,0.8,2.8,9.5,9.2
139,134,Harrison Barnes,SAC,12,12,31.8,3.4,8.3,.414,0.8,3.3,.225,3.3,4.1,.816,1.2,4.3,5.4,2.1,0.8,0.3,1.1,1.3,10.9,9.1
140,135,Jarred Vanderbilt,UTA,13,13,24.9,3.6,6.3,.573,0.5,1.2,.438,0.8,1.3,.647,2.4,5.8,8.2,2.7,1.3,0.4,1.8,3.7,8.6,9.1
141,136,Malik Beasley,UTA,15,2,25.6,4.3,10.1,.428,2.8,6.7,.420,0.7,0.8,.917,0.7,2.8,3.5,1.2,1.0,0.1,0.7,1.1,12.2,8.9
142,137,Bruce Brown,DEN,13,3,27.7,3.9,8.7,.451,1.2,3.2,.390,0.9,1.2,.800,1.2,2.7,3.9,4.2,0.8,0.5,1.5,1.8,10.0,8.9
143,138,Malik Monk,SAC,12,0,21.8,3.8,9.3,.411,2.0,5.5,.364,2.2,2.3,.929,0.4,1.8,2.3,4.3,0.4,0.3,1.7,1.7,11.8,8.9
144,139,Jalen Suggs,ORL,8,7,28.8,4.9,10.6,.459,1.3,4.5,.278,2.0,3.3,.615,0.6,2.1,2.8,4.9,1.8,0.4,3.1,3.6,13.0,8.9
145,140,Tyler Dorsey,DAL,1,0,4.3,4.0,4.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,8.8
147,141,Ayo Dosunmu,CHI,13,13,30.3,4.7,9.6,.488,1.4,3.9,.353,0.9,1.0,.923,0.5,3.4,3.8,3.2,0.8,0.3,1.7,2.5,11.7,8.8
