,Player,Team
128,Goran Dragic,CHI
129,Keegan Murray,SAC
130,Clint Capela,ATL
131,Gordon Hayward,CHA
132,Ivica Zubac,LAC
133,Marcus Smart,BOS
134,Santi Aldama,MEM
135,Josh Richardson,SAS
136,Brandon Clarke,MEM
137,Dennis Smith,CHA
138,Jalen Smith,IND
139,Harrison Barnes,SAC
140,Obi Toppin,NYK
141,Reggie Jackson,LAC
142,Bruce Brown,DEN
143,Patrick Williams,CHI
144,Jusuf Nurkic,POR
145,Doug McDermott,SAS
146,Tim Hardaway,DAL
147,Gabe Vincent,MIA
148,Will Barton,WAS
149,John Wall,LAC
150,Bones Hyland,DEN
151,Terrence Ross,ORL
152,Myles Turner,IND
153,Jabari Smith,HOU
154,Monte Morris,WAS
155,Cameron Payne,PHO
156,Grayson Allen,MIL
157,Talen Horton-Tucker,UTH
158,Georges Niang,PHI
159,Taurean Prince,MIN
160,Cedi Osman,CLE
161,Josh Hart,POR
162,Grant Williams,BOS
163,Immanuel Quickley,NYK
164,Larry Nance,NOR
165,Jarred Vanderbilt,UTH
166,Al Horford,BOS
167,Jevon Carter,MIL
168,Austin Reaves,LAL
169,Derrick White,BOS
170,Shaedon Sharpe,POR
171,Tari Eason,HOU
172,Cam Reddish,NYK
173,Jalen Suggs,ORL
174,De'Anthony Melton,PHI
175,Precious Achiuwa,TOR
176,Cameron Johnson,PHO
177,Troy Brown,LAL
178,Aleksej Pokusevski,OKC
179,Isaiah Jackson,IND
180,Isaiah Hartenstein,NYK
181,Jeff Green,DEN
182,Jeremiah Robinson-Earl,OKC
183,Jose Alvarado,NOR
184,Luke Kennard,LAC
185,Dorian Finney-Smith,DAL
186,Onyeka Okongwu,ATL
187,Draymond Green,GSW
188,Sam Hauser,BOS
189,Caleb Martin,MIA
190,Deni Avdija,WAS
191,Chris Paul,PHO
192,Herbert Jones,NOR
193,Joe Harris,BKN
194,Edmond Sumner,BKN
195,Jock Landale,PHO
196,Dalano Banton,TOR
197,Evan Fournier,NYK
198,Naji Marshall,NOR
199,Mo Bamba,ORL
200,Steven Adams,MEM
201,John Konchar,MEM
202,James Bouknight,CHA
203,Justise Winslow,POR
204,Hamidou Diallo,DET
205,Nassir Little,POR
206,Jeremy Sochan,SAS
207,Chuma Okeke,ORL
208,Kevon Looney,GSW
209,Cam Thomas,BKN
210,Javonte Green,CHI
211,Duncan Robinson,MIA
212,Terance Mann,LAC
213,R.J. Hampton,ORL
214,Daniel Gafford,WAS
215,Derrick Rose,NYK
216,Justin Holiday,ATL
217,Davion Mitchell,SAC
218,Dean Wade,CLE
219,Keita Bates-Diop,SAS
220,Killian Hayes,DET
221,David Roddy,MEM
222,Chris Duarte,IND
223,Mike Muscala,OKC
224,Damion Lee,PHO
225,Isaiah Livers,DET
226,Patty Mills,BKN
227,Naz Reid,MIN
228,Josh Green,DAL
229,Zach Collins,SAS
230,Jalen Duren,DET
231,Andrew Nembhard,IND
232,James Wiseman,GSW
233,Drew Eubanks,POR
234,Jalen Williams,OKC
235,Terence Davis,SAC
236,Jordan Nwora,MIL
237,Torrey Craig,PHO
238,Kenrich Williams,OKC
239,Andre Drummond,CHI
240,Derrick Jones,CHI
241,P.J. Tucker,PHI
242,Moses Moody,GSW
243,Yuta Watanabe,BKN
244,Theo Maledon,CHA
245,George Hill,MIL
246,Aaron Holiday,ATL
247,Darius Bazley,OKC
248,Walker Kessler,UTH
249,Dewayne Dedmon,MIA
250,Devonte' Graham,NOR
251,Landry Shamet,PHO
252,Aaron Nesmith,IND
253,Cole Anthony,ORL
254,AJ Griffin,ATL
255,Kyle Anderson,MIN
256,Alex Caruso,CHI
257,DeAndre Jordan,DEN
258,Aaron Wiggins,OKC
259,Christian Koloko,TOR
260,Trey Lyles,SAC
261,Jake LaRavia,MEM
262,Maxi Kleber,DAL
263,Dwight Powell,DAL
264,Coby White,CHI
265,Malachi Flynn,TOR
266,Reggie Bullock,DAL
267,MarJon Beauchamp,MIL
268,Jalen Johnson,ATL
269,Jordan Goodwin,WAS
270,Rudy Gay,UTH
271,Corey Kispert,WAS
272,Montrezl Harrell,PHI
273,Kendrick Nunn,LAL
274,Mitchell Robinson,NYK
275,Wenyen Gabriel,LAL
276,Patrick Beverley,LAL
277,Anthony Gill,WAS
278,Garrison Mathews,HOU
279,Seth Curry,BKN
280,Christian Braun,DEN
281,Ty Jerome,GSW
282,Danuel House,PHI
283,Matt Ryan,LAL
284,Ben Simmons,BKN
285,JaMychal Green,GSW
286,Nicolas Batum,LAC
287,Otto Porter,TOR
288,Wesley Matthews,MIL
289,Serge Ibaka,MIL
290,Eugene Omoruyi,OKC
291,Thaddeus Young,TOR
292,Cory Joseph,DET
293,JaVale McGee,DAL
294,Keon Johnson,POR
295,Jonathan Kuminga,GSW
296,T.J. McConnell,IND
297,Usman Garuba,HOU
298,Daishen Nix,HOU
299,Shake Milton,PHI
300,Isaiah Joe,OKC
301,Chimezie Metu,SAC
302,Kevon Harris,ORL
303,Jordan McLaughlin,MIN
304,Anthony Lamb,GSW
305,Goga Bitadze,IND
306,Bismack Biyombo,PHO
307,JT Thor,CHA
308,Caleb Houstan,ORL
309,Isaac Okoro,CLE
310,Alec Burks,DET
311,LaMelo Ball,CHA
312,Richaun Holmes,SAC
313,Luke Kornet,BOS
314,Robin Lopez,CLE
315,Romeo Langford,SAS
316,Ousmane Dieng,OKC
317,Robert Covington,LAC
318,David Duke,BKN
319,Raul Neto,CLE
320,Joshua Primo,FA
321,Xavier Tillman,MEM
322,Damian Jones,LAL
323,Charles Bassey,SAS
324,Payton Pritchard,BOS
325,Delon Wright,WAS
326,Bryn Forbes,MIN
327,Juan Toscano-Anderson,LAL
328,Nickeil Alexander-Walker,UTH
329,Amir Coffey,LAC
330,Jae'Sean Tate,HOU
331,Max Christie,LAL
332,Kawhi Leonard,LAC
333,Trendon Watford,POR
334,Josh Christopher,HOU
335,Malaki Branham,SAS
336,Day'Ron Sharpe,BKN
337,Blake Griffin,BOS
338,Noah Vonleh,BOS
339,Jabari Walker,POR
340,Juancho Hernangomez,TOR
341,Jericho Sims,NYK
342,Isaiah Roby,SAS
343,Gorgui Dieng,SAS
344,Lamar Stevens,CLE
345,Dyson Daniels,NOR
346,Marvin Bagley,DET
347,Markieff Morris,BKN
348,Matisse Thybulle,PHI
349,Donte DiVincenzo,GSW
350,Ochai Agbaji,UTH
351,Terry Taylor,IND
352,Moses Brown,LAC
353,Dario Saric,PHO
354,Bryce McGowens,CHA
355,Blake Wesley,SAS
356,Zeke Nnaji,DEN
357,Taj Gibson,WAS
358,Simone Fontecchio,UTH
359,Davon Reed,DEN
360,Oshae Brissett,IND
361,Kevin Knox,DET
362,Kennedy Chandler,MEM
363,Furkan Korkmaz,PHI
364,Brandon Boston,LAC
365,Josh Okogie,PHO
366,Willy Hernangomez,NOR
367,Nerlens Noel,DET
368,James Johnson,FA
369,Kai Jones,CHA
370,Bruno Fernando,HOU
371,Mark Williams,CHA
372,Khem Birch,TOR
373,Udoka Azubuike,UTH
374,Frank Kaminsky,ATL
375,Quentin Grimes,NYK
376,Greg Brown,POR
377,Nikola Jovic,MIA
378,Austin Rivers,MIN
379,Dalen Terry,CHI
380,Duane Washington,PHO
381,Svi Mykhailiuk,FA
382,Kenneth Lofton,MEM
383,Tyler Dorsey,DAL
384,Vit Krejci,OKC
385,Matthew Dellavedova,SAC
386,Admiral Schofield,ORL
387,Jeff Dowtin,TOR
388,Tyrese Martin,ATL
389,Ryan Rollins,GSW
390,Boban Marjanovic,HOU
391,Peyton Watson,DEN
392,Justin Jackson,BOS
393,Jaylin Williams,OKC
394,Justin Champagnie,TOR
395,Vlatko Cancar,DEN
396,Garrett Temple,NOR
397,Johnny Davis,WAS
398,Paul Reed,PHI
399,Sandro Mamukelashvili,MIL
400,Jaden Springer,PHI
401,Rodney McGruder,DET
402,Ish Smith,DEN
403,Leandro Bolmaro,UTH
404,Micah Potter,UTH
405,Braxton Key,DET
406,Jamal Cain,MIA
407,Moussa Diabate,LAC
408,Kessler Edwards,BKN
409,Jordan Hall,SAS
410,Facundo Campazzo,DAL
411,KZ Okpala,SAC
412,Trevor Hudgins,HOU
413,Scotty Pippen,LAL
414,Nathan Knight,MIN
415,Udonis Haslem,MIA
416,Lindy Waters,OKC
417,Isaiah Mobley,CLE
418,Jordan Schakel,WAS
419,Tony Bradley,CHI
420,McKinley Wright,DAL
421,Mamadi Diakite,CLE
422,John Butler,POR
423,Dru Smith,FA
424,Theo Pinson,DAL
425,Haywood Highsmith,MIA
426,Isaiah Todd,WAS
427,Vince Williams,MEM
428,Dominick Barlow,SAS
429,Jaxson Hayes,NOR
430,Alex Len,SAC
431,Jarrett Culver,ATL
432,Dereon Seabron,NOR
433,Luka Garza,MIN
434,Ish Wainright,PHO
435,Jonathan Isaac,ORL
436,Patrick Baldwin,GSW
437,Cole Swider,LAL
438,Jason Preston,LAC
439,Ricky Rubio,CLE
440,Michael Foster,PHI
441,Pat Connaughton,MIL
442,Marko Simonovic,CHI
443,Vernon Carey,WAS
444,Miles McBride,NYK
445,Alondes Williams,BKN
446,A.J. Green,MIL
447,JD Davison,BOS
448,T.J. Warren,BKN
449,Feron Hunt,NYK
450,Gary Harris,ORL
451,Trevelin Queen,IND
452,Thanasis Antetokounmpo,MIL
453,Daniel Theis,IND
454,Chima Moneke,SAC
455,Frank Ntilikina,DAL
456,Danilo Gallinari,BOS
457,Jaren Jackson,MEM
458,Buddy Boeheim,DET
459,Olivier Sarr,POR
460,Trent Forrest,ATL
461,Wendell Moore,MIN
462,Omer Yurtseven,MIA
463,Jack White,DEN
464,Keon Ellis,SAC
465,Ron Harper,TOR
466,Kira Lewis,NOR
467,Khris Middleton,MIL
468,Joe Ingles,MIL
469,Jae Crowder,PHO
470,Kostas Antetokounmpo,CHI
471,Moritz Wagner,ORL
472,Dylan Windler,CLE
473,Mfiondu Kabengele,BOS
474,Josh Minott,MIN
475,Julian Champagnie,PHI
476,Cody Martin,CHA
477,Kendall Brown,IND
478,Dennis Schroder,LAL
479,Victor Oladipo,MIA
480,Malcolm Hill,CHI
481,E.J. Liddell,NOR
482,Andre Iguodala,GSW
483,Collin Gillespie,DEN
484,Bogdan Bogdanovic,ATL
485,Lonzo Ball,CHI
486,Jaden Hardy,DAL
487,Markelle Fultz,ORL
488,Gary Payton,POR
489,Neemias Queta,SAC
490,Davis Bertans,DAL
491,Robert Williams,BOS
492,Danny Green,MEM
493,Ryan Arcidiacono,FA
494,TyTy Washington,HOU
495,Thomas Bryant,LAL
496,Trevor Keels,NYK
497,Chet Holmgren,OKC
498,Ziaire Williams,MEM
499,Darius Days,HOU
500,Johnny Juzang,UTH
