,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
302,289,Isaiah Mobley,PF,23,CLE,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
303,290,Chima Moneke,SF,27,SAC,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,2.0,.000,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0
304,291,Malik Monk,SG,24,SAC,11,0,21.5,4.0,9.5,.423,2.1,5.6,.371,1.9,3.8,.500,.534,1.7,1.9,.905,0.5,1.9,2.4,4.3,0.5,0.4,1.5,1.6,11.8
305,292,Moses Moody,SG,20,GSW,11,1,16.9,2.0,4.9,.407,1.1,3.1,.353,0.9,1.8,.500,.519,1.1,1.4,.800,0.5,1.7,2.2,0.5,0.5,0.5,1.4,1.2,6.2
306,293,Wendell Moore Jr.,SG,21,MIN,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
307,294,Ja Morant,PG,23,MEM,12,12,32.9,10.1,21.0,.480,2.1,5.1,.410,8.0,15.9,.503,.530,6.5,8.3,.788,1.1,4.9,6.0,7.0,1.0,0.3,4.0,1.9,28.8
308,295,Marcus Morris,PF,33,LAC,11,11,31.5,5.9,12.0,.492,2.3,5.7,.397,3.6,6.3,.580,.587,0.6,0.6,1.000,0.5,5.5,6.0,2.2,0.9,0.4,1.1,2.5,14.7
309,296,Markieff Morris,PF,33,BRK,7,0,8.1,0.7,2.3,.313,0.7,1.7,.417,0.0,0.6,.000,.469,0.0,0.0,,0.1,1.6,1.7,0.6,0.3,0.1,0.9,1.1,2.1
310,297,Monte Morris,PG,27,WAS,13,13,27.5,3.3,7.9,.417,0.9,2.7,.343,2.4,5.2,.456,.476,1.1,1.5,.737,0.5,3.2,3.7,5.0,0.6,0.2,0.8,1.2,8.6
311,298,Trey Murphy III,SF,22,NOP,13,4,28.5,3.8,8.2,.467,2.2,5.5,.394,1.7,2.8,.611,.598,1.6,1.7,.955,1.3,3.2,4.5,1.4,0.9,0.4,0.8,1.8,11.5
312,299,Dejounte Murray,SG,26,ATL,13,13,36.6,8.8,19.5,.455,1.9,5.9,.325,6.9,13.5,.511,.504,2.1,2.4,.871,0.9,5.4,6.3,8.0,2.2,0.5,2.4,1.8,21.7
313,300,Jamal Murray,PG,25,DEN,11,11,28.4,6.3,14.5,.431,1.5,4.5,.347,4.7,10.1,.468,.484,1.5,2.1,.696,0.6,3.0,3.6,4.5,0.9,0.0,2.1,0.6,15.5
315,301,Keegan Murray,SF,22,SAC,10,8,31.5,4.5,10.1,.446,2.2,6.1,.361,2.3,4.0,.575,.554,0.7,0.9,.778,0.8,2.9,3.7,1.3,0.9,0.9,1.7,2.4,11.9
316,302,Mike Muscala,C,31,OKC,10,1,14.0,2.5,5.9,.424,1.1,3.7,.297,1.4,2.2,.636,.517,1.1,1.4,.786,0.7,3.7,4.4,0.6,0.0,0.5,0.5,1.8,7.2
317,303,Svi Mykhailiuk,SF,25,NYK,3,0,2.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.3,.000,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.0,3.0
318,304,Larry Nance Jr.,PF,30,NOP,12,0,23.2,4.2,6.3,.667,0.3,0.7,.500,3.8,5.6,.687,.693,0.7,1.0,.667,1.8,3.9,5.7,2.3,0.8,0.5,1.2,2.3,9.3
319,305,Andrew Nembhard,SG,23,IND,11,3,20.1,2.5,5.8,.422,1.3,3.2,.400,1.2,2.6,.448,.531,0.5,0.5,1.000,0.4,1.9,2.3,3.4,0.7,0.1,1.1,2.2,6.6
320,306,Aaron Nesmith,SF,23,IND,8,4,21.1,2.8,6.6,.415,1.1,3.5,.321,1.6,3.1,.520,.500,1.1,1.4,.818,0.4,2.9,3.3,1.8,0.3,0.9,1.1,2.8,7.8
321,307,Raul Neto,PG,30,CLE,7,0,12.3,1.4,3.4,.417,0.4,1.3,.333,1.0,2.1,.467,.479,0.9,0.9,1.000,0.3,1.4,1.7,1.9,0.6,0.0,0.6,0.9,4.1
322,308,Georges Niang,PF,29,PHI,13,0,18.0,2.9,6.2,.475,2.2,4.8,.460,0.7,1.3,.529,.656,0.5,0.5,1.000,0.2,1.7,1.8,0.8,0.3,0.4,0.8,1.9,8.6
323,309,Daishen Nix,PG,20,HOU,11,0,13.8,1.2,3.1,.382,0.9,2.0,.455,0.3,1.1,.250,.529,0.3,0.4,.750,0.3,1.0,1.3,2.2,0.8,0.1,1.5,0.8,3.5
324,310,Zeke Nnaji,PF,22,DEN,7,0,3.9,0.7,1.6,.455,0.0,0.4,.000,0.7,1.1,.625,.455,0.3,0.3,1.000,0.4,0.4,0.9,0.0,0.3,0.0,0.3,1.1,1.7
325,311,Nerlens Noel,C,28,DET,4,0,13.5,1.0,3.0,.333,0.0,0.0,,1.0,3.0,.333,.333,0.8,1.0,.750,0.5,3.3,3.8,0.8,0.8,0.3,0.8,1.3,2.8
326,312,Jaylen Nowell,SG,23,MIN,13,0,18.4,4.4,10.6,.413,1.2,4.0,.308,3.2,6.6,.477,.471,1.0,1.3,.765,0.6,2.3,2.9,2.3,0.5,0.2,1.0,1.4,11.0
327,313,Frank Ntilikina,PG,24,DAL,1,0,4.0,0.0,3.0,.000,0.0,3.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
328,314,Kendrick Nunn,PG,27,LAL,10,2,13.8,2.1,6.4,.328,0.8,3.2,.250,1.3,3.2,.406,.391,0.2,0.3,.667,0.1,1.4,1.5,1.2,0.2,0.1,1.5,0.8,5.2
329,315,Jusuf Nurki?,C,28,POR,10,10,29.5,4.8,9.7,.495,0.6,1.1,.545,4.2,8.6,.488,.526,2.8,3.2,.875,3.1,8.1,11.2,2.5,0.9,0.8,2.5,3.1,13.0
330,316,Jordan Nwora,SF,24,MIL,12,1,17.9,1.9,6.5,.295,0.9,3.1,.297,1.0,3.4,.293,.365,1.1,1.1,1.000,0.9,3.2,4.1,0.8,0.3,0.1,0.8,1.0,5.8
331,317,Royce O'Neale,SF,29,BRK,13,13,36.3,3.7,9.7,.381,2.5,5.9,.429,1.2,3.8,.306,.512,0.7,0.9,.750,1.2,3.5,4.7,4.1,1.3,0.7,1.2,3.4,10.6
332,318,Chuma Okeke,PF,24,ORL,13,2,20.1,1.8,4.5,.414,1.1,3.1,.350,0.8,1.4,.556,.534,1.0,1.3,.765,1.4,3.1,4.5,1.7,0.4,0.5,0.6,1.8,5.8
333,319,Josh Okogie,SG,24,PHO,11,0,5.2,0.4,1.3,.286,0.0,0.6,.000,0.4,0.6,.571,.286,0.4,0.5,.667,0.3,0.9,1.2,0.0,0.3,0.2,0.5,0.6,1.1
