,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
124,120,Jordan Goodwin,WAS,6,0,21.8,3.0,5.8,.514,1.3,2.3,.571,0.5,0.7,.750,1.5,3.3,4.8,3.8,0.8,1.0,0.5,2.0,7.8,9.9
126,121,Kyle Anderson,MIN,6,2,24.0,3.5,6.2,.568,1.0,2.0,.500,1.0,1.2,.857,0.2,2.8,3.0,4.0,1.2,0.7,1.0,1.5,9.0,9.8
127,122,Christian Wood,DAL,5,0,23.1,6.2,10.2,.608,1.0,3.0,.333,1.4,2.2,.636,0.8,5.8,6.6,0.6,0.8,0.2,2.8,2.2,14.8,9.8
128,123,Bryce McGowens,CHO,1,0,16.9,3.0,5.0,.600,1.0,2.0,.500,5.0,5.0,1.000,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,9.6
129,124,Jusuf Nurki?,POR,5,5,25.2,4.6,9.2,.500,1.0,1.4,.714,1.4,1.6,.875,3.0,5.8,8.8,2.2,0.8,0.2,2.4,3.0,11.6,9.6
130,125,Klay Thompson,GSW,4,4,33.5,6.3,17.8,.352,4.3,11.3,.378,0.5,1.0,.500,0.5,4.0,4.5,2.5,1.0,0.8,1.5,2.3,17.3,9.6
131,126,De'Andre Hunter,ATL,7,7,32.1,6.1,14.0,.439,1.1,3.9,.296,3.9,4.7,.818,1.0,3.1,4.1,0.7,0.3,0.3,1.6,3.0,17.3,9.5
132,127,Herbert Jones,NOP,7,7,28.0,4.3,8.4,.508,0.4,2.1,.200,2.7,3.6,.760,1.1,2.4,3.6,2.0,1.4,0.3,0.9,3.4,11.7,9.5
133,128,Grayson Allen,MIL,6,5,24.7,3.2,6.2,.514,2.2,3.8,.565,2.3,2.3,1.000,0.8,1.0,1.8,2.7,1.0,0.5,1.7,2.2,10.8,9.4
134,129,Scottie Barnes,TOR,8,8,34.1,5.0,13.4,.374,0.8,3.9,.194,1.0,1.5,.667,2.3,4.8,7.0,5.3,0.8,0.9,2.3,1.4,11.8,9.4
135,130,Bojan Bogdanovi?,DET,7,7,30.1,5.6,12.1,.459,1.7,6.0,.286,4.3,5.3,.811,0.1,3.4,3.6,2.1,0.3,0.0,3.1,2.0,17.1,9.4
136,131,Mo Bamba,ORL,5,0,18.0,3.8,6.2,.613,0.8,2.0,.400,1.4,2.2,.636,2.0,3.4,5.4,1.4,0.2,0.8,0.8,1.8,9.8,9.3
137,132,Bruce Brown,DEN,6,0,27.7,3.5,8.8,.396,0.8,2.8,.294,1.5,1.5,1.000,1.3,3.7,5.0,5.0,1.0,0.8,1.5,2.2,9.3,9.3
138,133,John Wall,LAC,6,0,24.1,4.8,11.8,.408,1.0,4.2,.240,1.7,3.0,.556,0.3,2.7,3.0,5.3,1.3,0.2,1.5,2.2,12.3,9.3
139,134,Jaden McDaniels,MIN,6,6,28.7,5.2,8.5,.608,1.2,2.5,.467,1.2,1.8,.636,1.7,2.2,3.8,1.3,0.7,1.0,1.7,4.3,12.7,9.2
140,135,Malik Beasley,UTA,8,2,25.3,4.4,10.4,.422,3.4,7.5,.450,0.6,0.6,1.000,0.9,3.6,4.5,1.1,0.8,0.1,0.9,1.5,12.8,9.1
141,136,Gabe Vincent,MIA,6,0,30.5,4.7,11.3,.412,2.5,7.0,.357,1.8,2.2,.846,0.0,2.2,2.2,2.5,1.3,0.2,1.0,3.2,13.7,9.1
142,137,Yuta Watanabe,BRK,5,0,18.8,3.8,6.6,.576,1.6,3.4,.471,0.2,0.2,1.000,1.2,2.4,3.6,1.2,0.6,0.8,0.4,1.0,9.4,9.1
143,138,Brandon Clarke,MEM,8,1,20.7,4.1,7.0,.589,0.1,0.4,.333,2.3,2.8,.818,1.3,3.9,5.1,1.5,0.1,1.4,1.4,2.5,10.6,9.0
144,139,Santi Aldama,MEM,8,7,25.8,3.9,7.8,.500,1.5,3.8,.400,0.4,0.9,.429,1.6,4.8,6.4,0.9,1.1,1.1,0.6,2.8,9.6,8.9
145,140,John Collins,ATL,7,7,30.2,4.1,9.4,.439,0.6,2.6,.222,2.7,2.7,1.000,1.7,4.4,6.1,1.1,0.4,0.9,0.9,3.0,11.6,8.9
147,141,Norman Powell,LAC,8,0,23.5,4.1,9.0,.458,1.1,3.3,.346,3.3,3.8,.867,0.3,2.4,2.6,1.3,1.3,0.1,1.3,2.1,12.6,8.8
148,142,Collin Sexton,UTA,8,0,24.0,5.0,10.9,.460,1.0,2.8,.364,3.1,4.1,.758,0.6,2.1,2.8,2.3,0.6,0.0,1.8,2.0,14.1,8.8
149,143,Grant Williams,BOS,8,5,30.4,3.1,5.9,.532,1.4,3.5,.393,1.5,1.9,.800,1.0,4.6,5.6,1.8,1.0,0.4,0.9,2.6,9.1,8.8
150,144,Draymond Green,GSW,5,5,31.6,2.6,6.0,.433,0.0,0.8,.000,1.0,1.6,.625,0.4,6.8,7.2,8.6,0.6,0.2,1.8,3.4,6.2,8.7
151,145,Anthony Lamb,GSW,5,1,22.9,4.0,6.6,.606,2.4,4.4,.545,0.0,0.0,,0.8,2.6,3.4,1.8,0.8,0.0,1.0,2.6,10.4,8.7
