,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10,11,Giannis Antetokounmpo,PF,28,MIL,10,10,32.6,11.1,21.1,.526,0.8,3.3,.242,10.3,17.8,.579,.545,8.3,12.9,.643,1.8,10.0,11.8,5.2,1.1,1.3,3.8,3.2,31.3
11,12,Thanasis Antetokounmpo,SF,30,MIL,7,0,2.7,0.0,0.1,.000,0.0,0.0,,0.0,0.1,.000,.000,0.0,0.0,,0.1,0.6,0.7,0.1,0.0,0.1,0.1,0.3,0.0
12,13,Cole Anthony,PG,22,ORL,4,3,30.5,5.5,13.3,.415,1.8,5.0,.350,3.8,8.3,.455,.481,2.8,3.8,.733,0.8,4.0,4.8,4.3,0.8,0.8,2.0,3.5,15.5
13,14,OG Anunoby,SF,25,TOR,15,15,35.5,6.4,13.9,.459,1.8,5.0,.360,4.6,8.9,.515,.524,2.7,3.3,.820,1.4,4.7,6.1,1.9,2.7,1.0,2.3,3.3,17.3
14,15,Ryan Arcidiacono,PG,28,NYK,3,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.3,0.0,0.0,0.3,0.0
15,16,Deni Avdija,SF,22,WAS,14,11,22.5,2.4,6.3,.386,0.8,2.6,.306,1.6,3.7,.442,.449,1.2,1.6,.773,0.6,3.7,4.4,1.9,0.6,0.6,1.2,2.9,6.9
16,17,Deandre Ayton,C,24,PHO,11,11,27.3,6.5,11.4,.576,0.3,0.7,.375,6.3,10.6,.590,.588,1.3,1.7,.737,2.7,5.0,7.7,1.5,0.6,0.5,2.2,3.4,14.6
17,18,Udoka Azubuike,C,23,UTA,5,0,4.0,1.0,1.2,.833,0.0,0.0,,1.0,1.2,.833,.833,0.0,0.0,,0.4,1.4,1.8,0.2,0.4,0.4,0.4,0.2,2.0
18,19,Marvin Bagley III,PF,23,DET,2,1,23.0,4.0,8.0,.500,0.5,1.5,.333,3.5,6.5,.538,.531,1.5,1.5,1.000,2.5,2.0,4.5,0.5,0.5,1.0,1.0,1.5,10.0
19,20,Patrick Baldwin Jr.,SF,20,GSW,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,LaMelo Ball,PG,21,CHO,2,2,31.0,6.0,18.0,.333,2.5,12.0,.208,3.5,6.0,.583,.403,1.5,1.5,1.000,0.0,5.0,5.0,7.5,0.5,0.5,3.5,3.5,16.0
22,22,Mo Bamba,C,24,ORL,13,0,15.2,2.7,5.3,.507,0.7,2.2,.310,2.0,3.1,.650,.572,0.8,1.2,.625,1.2,3.0,4.2,1.0,0.2,0.7,0.8,1.9,6.8
23,23,Paolo Banchero,PF,20,ORL,11,11,34.6,8.1,17.5,.461,1.0,3.9,.256,7.1,13.6,.520,.490,6.4,8.3,.769,0.8,7.5,8.3,3.6,0.7,0.9,3.0,2.4,23.5
24,24,Desmond Bane,SG,24,MEM,12,12,33.6,8.3,17.8,.465,3.8,8.5,.451,4.4,9.3,.477,.573,4.3,4.8,.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7
25,25,Dalano Banton,PG,23,TOR,14,1,10.5,2.4,5.1,.458,0.8,2.2,.355,1.6,2.9,.537,.535,1.0,1.1,.875,0.4,0.9,1.4,1.1,0.6,0.7,0.7,1.0,6.5
26,26,Dominick Barlow,SF,19,SAS,1,0,10.0,1.0,3.0,.333,0.0,2.0,.000,1.0,1.0,1.000,.333,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0
27,27,Harrison Barnes,PF,30,SAC,13,13,31.0,3.5,8.2,.430,0.8,3.4,.250,2.7,4.8,.556,.481,3.4,4.1,.830,1.2,4.2,5.3,2.2,0.8,0.2,1.0,1.5,11.3
28,28,Scottie Barnes,PF,21,TOR,14,14,32.1,5.4,12.6,.432,1.2,3.7,.327,4.2,8.9,.476,.480,1.3,1.8,.720,1.8,4.7,6.5,4.9,0.9,0.7,2.1,1.6,13.4
29,29,RJ Barrett,SG,22,NYK,14,14,34.2,6.7,16.1,.416,1.6,5.5,.286,5.1,10.6,.483,.465,3.9,5.2,.740,0.9,4.3,5.2,2.9,0.5,0.1,2.1,2.1,18.9
30,30,Will Barton,SG,32,WAS,14,0,23.9,3.4,8.7,.385,1.4,4.0,.339,2.0,4.7,.424,.463,1.0,1.1,.933,0.4,3.1,3.5,2.5,0.6,0.3,1.3,1.2,9.1
31,31,Charles Bassey,C,22,SAS,6,0,17.0,2.7,4.2,.640,0.3,0.8,.400,2.3,3.3,.700,.680,0.8,1.0,.833,2.7,4.7,7.3,1.8,0.5,1.8,1.7,3.2,6.5
32,32,Keita Bates-Diop,SF,27,SAS,14,3,14.5,2.9,5.6,.513,0.4,1.4,.316,2.4,4.2,.576,.551,1.1,1.4,.842,1.4,1.4,2.8,0.6,0.6,0.0,1.0,0.5,7.3
33,33,Nicolas Batum,PF,34,LAC,15,1,18.3,1.7,3.7,.464,1.2,2.8,.429,0.5,0.9,.571,.625,0.5,0.9,.615,0.8,3.3,4.1,1.3,0.5,0.9,0.9,2.5,5.2
34,34,Darius Bazley,PF,22,OKC,11,0,16.7,2.5,5.8,.422,0.6,1.6,.389,1.8,4.2,.435,.477,0.5,1.0,.455,1.6,3.1,4.7,1.5,0.8,1.3,0.5,1.5,6.0
35,35,Bradley Beal,SG,29,WAS,9,9,35.1,8.2,15.9,.517,1.4,4.4,.325,6.8,11.4,.592,.563,3.7,4.0,.917,0.7,2.9,3.6,5.7,0.9,0.8,2.7,2.0,21.6
36,36,Malik Beasley,SG,26,UTA,16,2,25.4,4.4,10.3,.427,2.8,6.8,.417,1.6,3.5,.446,.564,0.8,0.8,.923,0.7,2.8,3.5,1.1,0.9,0.2,0.8,1.1,12.3
37,37,MarJon Beauchamp,SF,22,MIL,10,4,18.1,2.8,6.5,.431,1.2,3.7,.324,1.6,2.8,.571,.523,0.7,1.0,.700,1.0,2.7,3.7,0.4,0.6,0.2,1.2,2.1,7.5
38,38,Patrick Beverley,PG,34,LAL,11,11,28.1,1.4,4.9,.278,0.7,3.1,.235,0.6,1.8,.350,.352,1.2,1.4,.867,0.8,2.9,3.7,3.0,1.1,0.5,0.9,3.2,4.6
39,39,Saddiq Bey,SF,23,DET,15,14,31.6,4.8,11.5,.416,1.7,5.5,.301,3.1,6.0,.522,.488,4.4,4.8,.917,1.1,3.5,4.7,1.5,0.9,0.2,1.4,1.7,15.7
40,40,Khem Birch,C,30,TOR,5,0,7.6,0.8,1.2,.667,0.2,0.2,1.000,0.6,1.0,.600,.750,0.4,0.4,1.000,0.6,0.4,1.0,0.4,0.6,0.2,0.4,2.0,2.2
42,41,Goga Bitadze,C,23,IND,8,0,13.1,1.8,3.4,.519,0.1,0.9,.143,1.6,2.5,.650,.537,0.9,1.8,.500,1.6,1.8,3.4,1.5,0.5,0.5,0.8,2.3,4.5
43,42,Bismack Biyombo,C,30,PHO,11,2,11.8,1.4,2.5,.556,0.0,0.0,,1.4,2.5,.556,.556,0.5,0.8,.667,0.7,2.5,3.3,0.5,0.2,1.7,0.6,1.8,3.3
44,43,Buddy Boeheim,PG,23,DET,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,44,Bojan Bogdanovi?,PF,33,DET,15,15,31.2,6.5,13.1,.500,2.8,6.7,.416,3.7,6.3,.589,.607,4.3,4.9,.877,0.4,3.1,3.5,2.1,0.4,0.0,2.1,2.0,20.1
46,45,Bol Bol,PF,23,ORL,14,9,24.0,4.6,7.2,.634,0.9,1.8,.480,3.7,5.4,.684,.693,1.6,1.9,.852,1.4,6.1,7.6,0.6,0.1,1.9,2.1,1.6,11.6
47,46,Leandro Bolmaro,SG,22,UTA,3,0,7.0,0.7,2.3,.286,0.0,0.7,.000,0.7,1.7,.400,.286,0.0,0.0,,0.3,0.0,0.3,0.7,0.7,0.3,0.7,1.3,1.3
48,47,Devin Booker,SG,26,PHO,13,13,36.8,9.5,20.0,.477,2.3,6.2,.375,7.2,13.8,.522,.535,5.2,6.0,.859,1.0,3.8,4.8,5.5,1.2,0.5,2.7,2.5,26.5
49,48,Brandon Boston Jr.,SG,21,LAC,5,0,3.2,1.0,2.0,.500,0.4,0.6,.667,0.6,1.4,.429,.600,0.2,0.4,.500,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,2.6
50,49,Chris Boucher,PF,30,TOR,12,0,22.3,4.3,8.5,.510,1.2,3.3,.350,3.2,5.2,.613,.578,2.3,3.1,.730,2.2,3.3,5.4,0.7,0.9,1.0,1.1,3.0,12.1
51,50,James Bouknight,SG,22,CHO,15,0,18.0,2.2,6.5,.337,0.8,3.5,.231,1.4,3.1,.457,.398,0.7,1.1,.625,0.3,2.0,2.3,1.4,0.4,0.3,1.0,1.6,5.9
52,51,Tony Bradley,C,25,CHI,4,0,2.5,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.5,0.5,1.000,0.3,1.0,1.3,0.0,0.0,0.0,0.0,0.0,0.5
53,52,Malaki Branham,SF,19,SAS,4,2,19.5,2.0,7.0,.286,0.8,3.8,.200,1.3,3.3,.385,.339,1.3,1.5,.833,0.5,1.8,2.3,2.0,0.3,0.0,0.8,0.8,6.0
54,53,Christian Braun,SG,21,DEN,12,0,15.7,1.6,3.3,.475,0.5,1.3,.375,1.1,2.0,.542,.550,0.3,0.5,.667,0.6,1.6,2.2,1.2,0.5,0.2,0.4,0.9,4.0
55,54,Mikal Bridges,SF,26,PHO,13,13,36.8,6.0,10.9,.549,1.2,2.8,.432,4.8,8.1,.590,.606,2.4,2.7,.886,1.2,3.9,5.2,3.1,1.0,1.0,1.2,2.0,15.6
56,55,Oshae Brissett,SF,24,IND,7,0,9.4,0.7,2.4,.294,0.1,1.4,.100,0.6,1.0,.571,.324,0.4,0.6,.750,0.6,1.0,1.6,0.3,0.1,0.0,0.6,0.3,2.0
57,56,Malcolm Brogdon,PG,30,BOS,11,0,23.0,4.8,10.1,.477,1.3,3.5,.368,3.5,6.6,.534,.541,2.8,3.3,.861,0.9,2.9,3.8,3.5,0.5,0.2,2.0,1.3,13.7
58,57,Dillon Brooks,SG,27,MEM,12,12,29.8,6.0,15.1,.398,2.2,5.9,.366,3.8,9.2,.418,.470,1.7,2.3,.741,0.4,3.0,3.4,2.0,0.7,0.2,1.4,3.3,15.8
59,58,Bruce Brown,PG,26,DEN,13,3,27.7,3.9,8.7,.451,1.2,3.2,.390,2.7,5.5,.486,.522,0.9,1.2,.800,1.2,2.7,3.9,4.2,0.8,0.5,1.5,1.8,10.0
60,59,Greg Brown III,PF,21,POR,4,0,5.5,1.3,1.8,.714,0.0,0.0,,1.3,1.8,.714,.714,0.0,1.3,.000,0.0,0.3,0.3,0.0,0.8,0.5,0.5,0.8,2.5
61,60,Jaylen Brown,SF,26,BOS,13,13,36.8,9.5,19.6,.482,2.3,6.8,.337,7.2,12.8,.560,.541,4.2,5.0,.831,0.9,5.8,6.8,3.5,0.9,0.5,3.1,2.9,25.4
63,61,Moses Brown,C,23,LAC,8,0,4.0,1.3,1.6,.769,0.0,0.0,,1.3,1.6,.769,.769,0.5,0.9,.571,0.6,1.0,1.6,0.0,0.0,0.5,0.0,0.5,3.0
64,62,Troy Brown Jr.,SF,23,LAL,11,9,27.5,3.7,8.4,.446,1.3,3.9,.326,2.5,4.5,.551,.522,0.7,0.7,1.000,0.9,4.2,5.1,0.8,0.8,0.0,0.9,2.0,9.5
65,63,Jalen Brunson,PG,26,NYK,14,14,32.9,7.4,14.9,.493,1.1,3.9,.291,6.2,11.0,.565,.531,4.1,4.6,.877,0.4,3.1,3.5,6.9,1.3,0.1,1.8,2.6,19.9
66,64,Reggie Bullock,SF,31,DAL,13,13,28.8,1.8,5.5,.319,1.5,4.5,.322,0.3,1.0,.308,.451,0.3,0.5,.571,0.5,2.5,2.9,1.0,1.1,0.2,0.5,2.9,5.3
67,65,Alec Burks,SG,31,DET,2,0,21.0,5.0,9.5,.526,1.5,4.0,.375,3.5,5.5,.636,.605,4.5,6.5,.692,0.0,2.0,2.0,1.5,0.5,0.0,0.5,3.0,16.0
68,66,Jimmy Butler,SF,33,MIA,12,12,35.5,6.8,14.0,.482,0.9,2.4,.379,5.8,11.6,.504,.515,7.2,8.0,.896,2.2,4.9,7.1,6.2,1.8,0.3,1.4,1.6,21.6
69,67,John Butler,C,20,POR,1,0,9.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
70,68,Jamal Cain,SF,23,MIA,1,0,2.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
71,69,Kentavious Caldwell-Pope,SG,29,DEN,12,12,31.0,4.2,8.3,.500,2.5,4.6,.545,1.7,3.8,.444,.650,1.0,1.3,.750,0.3,3.3,3.6,2.7,1.5,0.3,1.3,2.0,11.8
72,70,Facundo Campazzo,PG,31,DAL,3,0,5.3,0.3,1.3,.250,0.3,1.0,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,1.0
73,71,Vlatko ?an?ar,PF,25,DEN,6,0,2.7,0.3,0.7,.500,0.3,0.5,.667,0.0,0.2,.000,.750,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.2,0.2,1.0
74,72,Clint Capela,C,28,ATL,14,14,27.4,5.1,8.5,.605,0.0,0.0,,5.1,8.5,.605,.605,1.1,2.0,.536,4.4,7.4,11.9,0.7,0.6,1.5,1.1,1.9,11.4
75,73,Vernon Carey Jr.,C,21,WAS,2,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
76,74,Jevon Carter,PG,27,MIL,13,13,27.2,3.5,8.2,.421,1.7,4.2,.400,1.8,4.0,.442,.523,0.8,0.9,.833,0.8,1.7,2.5,3.3,1.6,0.7,1.5,3.1,9.4
77,75,Wendell Carter Jr.,C,23,ORL,14,14,32.8,5.6,10.9,.510,1.2,3.3,.370,4.4,7.6,.570,.565,3.9,4.8,.821,2.3,6.9,9.1,3.1,0.6,0.6,2.4,3.1,16.3
78,76,Alex Caruso,PG,28,CHI,14,5,25.2,1.3,4.0,.321,0.7,2.4,.303,0.6,1.6,.348,.411,1.1,1.4,.750,0.6,2.7,3.3,3.8,1.6,1.0,1.9,2.0,4.4
79,77,Justin Champagnie,SF,21,TOR,2,0,4.5,1.5,1.5,1.000,0.0,0.0,,1.5,1.5,1.000,1.000,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.5,3.0
80,78,Kennedy Chandler,PG,20,MEM,6,0,9.7,1.0,3.2,.316,0.2,1.0,.167,0.8,2.2,.385,.342,0.2,0.7,.250,0.2,0.8,1.0,2.0,0.3,0.3,1.0,0.5,2.3
81,79,Max Christie,SG,19,LAL,8,0,11.5,1.0,2.1,.471,0.8,1.4,.545,0.3,0.8,.333,.647,0.4,0.5,.750,0.1,2.5,2.6,0.5,0.4,0.0,0.3,0.5,3.1
82,80,Josh Christopher,SG,21,HOU,10,0,8.5,1.4,3.7,.378,0.3,1.4,.214,1.1,2.3,.478,.419,0.1,0.2,.500,0.4,1.1,1.5,0.7,0.3,0.0,0.8,1.0,3.2
84,81,Brandon Clarke,PF,26,MEM,15,1,19.1,4.0,6.5,.619,0.1,0.4,.167,3.9,6.1,.648,.624,1.9,2.6,.744,1.1,3.3,4.5,1.5,0.3,1.0,1.3,2.5,10.0
85,82,Jordan Clarkson,SG,30,UTA,16,16,30.6,6.5,15.4,.421,3.1,8.0,.383,3.4,7.4,.462,.520,1.9,2.3,.811,1.4,2.7,4.1,4.8,0.3,0.5,2.5,1.9,17.9
86,83,Nic Claxton,C,23,BRK,15,15,26.8,5.3,7.3,.718,0.0,0.1,.000,5.3,7.3,.725,.718,1.0,2.7,.375,2.7,5.8,8.5,1.2,0.7,1.9,1.5,2.7,11.5
87,84,Amir Coffey,SG,25,LAC,13,0,9.0,0.5,1.5,.316,0.1,0.3,.250,0.4,1.2,.333,.342,1.2,1.4,.833,0.2,0.5,0.7,0.6,0.2,0.1,0.3,0.9,2.2
88,85,John Collins,PF,25,ATL,14,14,31.6,4.9,9.9,.493,0.7,2.9,.244,4.1,6.9,.598,.529,2.2,2.4,.939,1.6,6.4,8.0,1.0,0.7,1.3,1.4,3.3,12.6
89,86,Zach Collins,PF,25,SAS,9,0,17.7,3.4,6.6,.525,0.8,2.0,.389,2.7,4.6,.585,.585,0.7,1.0,.667,1.3,3.3,4.7,2.8,0.7,1.2,1.9,3.0,8.3
90,87,Mike Conley,PG,35,UTA,15,15,30.5,3.6,9.2,.391,1.9,5.2,.359,1.7,4.0,.433,.493,1.7,2.1,.781,0.4,2.0,2.4,8.1,1.2,0.3,1.5,1.9,10.7
91,88,Robert Covington,PF,32,LAC,9,0,13.8,1.2,3.0,.407,0.8,2.1,.368,0.4,0.9,.500,.537,0.8,0.9,.875,0.2,3.0,3.2,1.0,0.3,0.7,0.8,2.2,4.0
92,89,Torrey Craig,SF,32,PHO,13,5,20.2,2.3,5.0,.462,1.1,2.8,.389,1.2,2.2,.552,.569,0.4,0.6,.625,1.8,2.4,4.2,1.4,0.5,0.5,0.7,2.1,6.1
93,90,Jarrett Culver,SG,23,ATL,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.5,1.0,.500,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
94,91,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,.415,1.4,5.1,.279,6.3,13.6,.466,.453,3.0,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9
95,92,Seth Curry,SG,32,BRK,6,0,20.0,3.3,7.7,.435,2.0,4.8,.414,1.3,2.8,.471,.565,1.0,1.2,.857,0.2,1.7,1.8,2.3,0.5,0.2,0.5,1.8,9.7
96,93,Stephen Curry,PG,34,GSW,13,13,34.5,10.5,20.2,.523,5.0,11.5,.433,5.5,8.6,.643,.647,5.4,5.8,.921,0.7,5.9,6.6,6.4,1.1,0.1,2.5,2.0,31.5
97,94,Dyson Daniels,PG,19,NOP,6,0,10.7,1.3,2.8,.471,0.7,1.3,.500,0.7,1.5,.444,.588,0.7,1.0,.667,0.7,2.7,3.3,1.2,0.7,0.5,0.5,0.8,4.0
98,95,Anthony Davis,C,29,LAL,12,12,34.5,9.7,17.8,.542,0.3,1.3,.250,9.3,16.5,.566,.551,4.6,5.8,.786,3.6,7.6,11.2,2.5,1.3,1.8,1.6,3.1,24.3
99,96,Johnny Davis,SG,20,WAS,5,0,6.0,0.4,1.4,.286,0.0,0.2,.000,0.4,1.2,.333,.286,0.4,0.4,1.000,0.2,0.6,0.8,0.4,0.0,0.0,0.2,1.6,1.2
100,97,Terence Davis,SG,25,SAC,12,0,13.8,2.9,5.8,.507,1.6,3.8,.413,1.3,1.9,.696,.645,1.0,1.2,.857,0.4,2.6,3.0,1.5,0.8,0.3,0.4,1.8,8.4
101,98,JD Davison,PG,20,BOS,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
102,99,Dewayne Dedmon,C,33,MIA,12,0,12.1,2.3,4.1,.571,0.6,1.3,.438,1.8,2.8,.636,.643,1.1,1.3,.813,1.0,2.4,3.4,0.7,0.1,0.4,0.5,2.0,6.3
103,100,Matthew Dellavedova,PG,32,SAC,4,0,9.0,0.8,2.3,.333,0.5,0.8,.667,0.3,1.5,.167,.444,0.0,0.0,,0.3,0.3,0.5,2.0,0.5,0.0,0.8,1.3,2.0
105,101,DeMar DeRozan,SF,33,CHI,14,14,33.8,8.1,16.0,.509,0.3,1.4,.200,7.9,14.6,.539,.518,7.3,8.2,.887,0.4,3.6,3.9,4.2,1.1,0.4,2.3,2.6,23.9
106,102,Moussa Diabat?,PF,21,LAC,2,0,3.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.5,0.5,1.000,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.5
107,103,Mamadi Diakite,PF,26,CLE,3,0,2.7,0.3,1.0,.333,0.0,0.7,.000,0.3,0.3,1.000,.333,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.7,0.7
108,104,Hamidou Diallo,SG,24,DET,15,0,14.0,2.1,5.1,.403,0.1,0.5,.125,2.0,4.6,.435,.409,1.6,2.3,.686,1.1,1.7,2.9,0.7,0.5,0.1,0.7,2.1,5.8
109,105,Gorgui Dieng,C,33,SAS,7,0,9.1,1.3,3.0,.429,0.9,2.4,.353,0.4,0.6,.750,.571,0.4,0.6,.750,0.9,1.3,2.1,1.7,0.1,0.6,1.0,1.3,3.9
110,106,Ousmane Dieng,SF,19,OKC,9,0,15.0,1.3,4.0,.333,0.6,2.4,.227,0.8,1.6,.500,.403,0.1,0.2,.500,0.3,1.9,2.2,1.7,0.1,0.2,0.3,0.6,3.3
111,107,Spencer Dinwiddie,PG,29,DAL,13,13,33.7,6.7,13.8,.483,3.2,7.2,.441,3.5,6.7,.529,.597,1.8,2.2,.793,0.3,3.2,3.5,4.8,1.2,0.2,1.8,2.5,18.3
112,108,Donte DiVincenzo,SG,26,GSW,6,0,15.0,1.3,3.0,.444,0.7,2.0,.333,0.7,1.0,.667,.556,0.8,1.0,.833,0.0,1.3,1.3,1.7,0.3,0.0,1.8,1.8,4.2
113,109,Luka Don?i?,PG,23,DAL,13,13,37.2,11.6,23.4,.497,2.3,7.9,.291,9.3,15.5,.602,.546,8.8,11.5,.767,1.1,7.8,8.8,7.8,2.1,0.6,3.2,3.2,34.4
114,110,Tyler Dorsey,SG,26,DAL,1,0,4.0,4.0,4.0,1.000,1.0,1.0,1.000,3.0,3.0,1.000,1.125,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0
115,111,Luguentz Dort,SG,23,OKC,14,14,30.6,4.9,12.6,.392,1.5,5.6,.266,3.4,6.9,.495,.452,2.7,3.5,.776,1.4,2.9,4.4,2.3,1.4,0.3,1.1,3.4,14.1
116,112,Ayo Dosunmu,PG,23,CHI,13,13,30.3,4.7,9.6,.488,1.4,3.9,.353,3.3,5.7,.581,.560,0.9,1.0,.923,0.5,3.4,3.8,3.2,0.8,0.3,1.7,2.5,11.7
117,113,Jeff Dowtin,PG,25,TOR,3,0,7.7,1.3,2.3,.571,0.0,0.3,.000,1.3,2.0,.667,.571,0.0,0.0,,0.7,1.0,1.7,1.3,0.0,0.3,0.3,0.7,2.7
118,114,Goran Dragi?,PG,36,CHI,14,0,19.3,3.8,8.3,.457,1.6,3.4,.468,2.2,4.9,.449,.552,0.9,1.2,.765,0.6,1.3,1.9,3.6,0.3,0.2,1.4,1.4,10.1
119,115,Andre Drummond,C,29,CHI,8,0,16.8,3.6,6.6,.547,0.0,0.3,.000,3.6,6.4,.569,.547,1.4,1.9,.733,3.3,6.4,9.6,0.9,0.9,0.4,1.8,2.6,8.6
120,116,Chris Duarte,SF,25,IND,9,5,19.7,3.1,7.9,.394,1.4,4.2,.342,1.7,3.7,.455,.486,1.2,1.3,.917,0.4,1.7,2.1,1.0,0.1,0.4,0.9,1.8,8.9
121,117,David Duke Jr.,SG,23,BRK,9,0,10.1,1.7,3.3,.500,0.0,0.4,.000,1.7,2.9,.577,.500,0.3,0.3,1.000,0.4,0.7,1.1,0.7,0.4,0.1,1.0,1.9,3.7
122,118,Kevin Durant,PF,34,BRK,15,15,36.6,10.1,19.2,.524,1.6,4.5,.353,8.5,14.7,.577,.566,8.6,9.3,.921,0.4,6.1,6.5,5.3,0.9,1.9,3.2,2.5,30.3
123,119,Jalen Duren,C,19,DET,12,0,21.2,2.7,4.8,.561,0.0,0.1,.000,2.7,4.7,.571,.561,0.8,2.3,.357,2.8,4.4,7.3,0.3,0.3,1.2,1.1,2.0,6.2
124,120,Tari Eason,PF,21,HOU,14,0,18.1,3.2,7.4,.437,0.9,2.0,.429,2.4,5.4,.440,.495,1.1,1.4,.789,2.1,2.6,4.8,1.1,1.6,0.5,0.8,2.3,8.4
126,121,Anthony Edwards,SG,21,MIN,14,14,36.1,7.9,17.4,.457,2.4,6.9,.340,5.6,10.4,.534,.525,2.7,4.1,.667,0.5,5.1,5.6,3.7,1.1,0.2,3.1,3.1,20.9
127,122,Kessler Edwards,SF,22,BRK,7,0,4.0,0.4,1.3,.333,0.3,0.9,.333,0.1,0.4,.333,.444,0.1,0.3,.500,0.3,0.4,0.7,0.3,0.3,0.1,0.0,0.1,1.3
